date,animal_id,lact_num,dim,yield_kg
2005-02-18,1,1,250,41.358
2005-02-19,1,1,251,36.697
2005-02-20,1,1,252,35.934
2005-02-21,1,1,253,39.736
2005-02-22,1,1,254,39.808
2005-02-23,1,1,255,38.358
2005-02-24,1,1,256,38.23
2005-02-25,1,1,257,40.552
2005-02-26,1,1,258,42.206
2005-02-27,1,1,259,38.051
2005-02-28,1,1,260,39.576
2005-03-01,1,1,261,40.883
2005-03-02,1,1,262,40.645
2005-03-03,1,1,263,39.276
2005-03-04,1,1,264,40.499
2005-03-05,1,1,265,38.761
2005-03-06,1,1,266,41.214
2005-03-07,1,1,267,39.245
2005-03-08,1,1,268,38.323
2005-03-09,1,1,269,41.97
2005-03-10,1,1,270,42.359
2005-03-11,1,1,271,40.387
2005-03-12,1,1,272,40.296
2005-03-13,1,1,273,39.367
2005-03-14,1,1,274,39.634
2005-03-15,1,1,275,40.761
2005-03-16,1,1,276,39.145
2005-03-17,1,1,277,37.736
2005-03-18,1,1,278,36.774
2005-03-19,1,1,279,40.486
2005-03-20,1,1,280,40.934
2005-03-21,1,1,281,40.054
2005-03-22,1,1,282,39.455
2005-03-23,1,1,283,40.952
2005-03-24,1,1,284,41.49
2005-03-25,1,1,285,39.551
2005-03-26,1,1,286,40.714
2005-03-27,1,1,287,40.667
2005-03-28,1,1,288,38.682
2005-03-29,1,1,289,37.965
2005-03-30,1,1,290,37.025
2005-03-31,1,1,291,37.891
2005-04-01,1,1,292,39.368
2005-04-02,1,1,293,38.179
2005-04-03,1,1,294,39.922
2005-04-04,1,1,295,39.656
2005-04-05,1,1,296,38.72
2005-04-06,1,1,297,36.91
2005-04-07,1,1,298,41.174
2005-04-08,1,1,299,45.313
2005-04-09,1,1,300,36.091
2005-04-10,1,1,301,37.866
2005-04-11,1,1,302,36.976
2005-04-12,1,1,303,40.048
2005-04-13,1,1,304,40.492
2005-04-14,1,1,305,35.912
